objectid,filename,title,creator,date,description,edition,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,BAYOVAR_APU_THASKIYWAN.pdf,Bayovar: Apu Thaskiywan,Luis Gonzales Posada,1975-08-12,,11,,"Lima, Peru ",,,,bayovar_apu,Periódico,PDF,que,,
coll003,KAWSAY_PACHA_TIJRAQ.pdf,¡Kawsay! Pacha T'ijraq,Luis Gonzales Posada,1975-08-05,,10,,"Lima, Peru ",,,,kawsay_pacha,Periódico,PDF,que,,
coll004,CHULLA_QHARI_HINA_PUNCHAYNIYKIPI_LLAQTALLAY.pdf,Ch'ulla Qhari Hina P'unchayniykipi Llaqtallay,Luis Gonzales Posada,1975-07-29,,9,,"Lima, Peru ",,,,chulla_qhari,Periódico,PDF,que,,
coll005,PAYPAQMI_PAQARIMUN_REVOLUSION.pdf,Paypaqmi Paqarimun Revolusiun,Guillermo Thorndike; Angel Avendaño,1975-07-22,,8,,"Lima, Peru ",,,,paypaqmi_paqarimun,Periódico,PDF,que,,
coll006,WINAQ_WAYNAKUNAWANMI_SAMINCHIS_CHAYAMUSHAN.pdf,Wiñaq Waynakunawanmi Saminchis Chayamushan,Guillermo Thorndike; Angel Avendaño,1975-07-15,,7,,"Lima, Peru ",,,,winaq_waynakunawanmi,Periódico,PDF,que,,
coll007,LLANKASPAN_HATUNYANANCHIS.pdf,Llank'aspan Hatunyananchis,Guillermo Thorndike; Angel Avendaño,1975-07-08,,6,,"Lima, Peru ",,,,llankaspan_hatunyananchis,Periódico,PDF,que,,
coll008,ALLPAWA_KAWSAYMI.pdf,Allpaqa Kawsaymi,Guillermo Thorndike; Angel Avendaño,1975-06-30,,5,,"Lima, Peru ",,,,allpawa_kawsaymi,Periódico,PDF,que,,
coll009,WINAYPAQ_SAYARIYKU.pdf,Wiñaypaq Sayariyku,Guillermo Thorndike; Angel Avendaño,1975-06-24,,4,,"Lima, Peru ",,,,winaypaq_sayariyku,Periódico,PDF,que,,
coll010,TUPAQ AMARU QANLLA QAYLLA.pdf,¡Tupaq Amaru Qanlla Qaylla!,Guillermo Thorndike; Angel Avendaño,1975-06-17,,3,,"Lima, Peru ",,,,tupaq_amaru,Periódico,PDF,que,,
coll011,KURAQYASHANMI_KALLPANCHIS.pdf,Revolusiunmi sunqunchista phutuchin: Kuraqyashanmi Kallpanchis,Guillermo Thorndike; Angel Avendano,1975-06-10,,2,,"Lima, Peru ",,,,kuraqyashanmi_kallpanchis,Periódico,PDF,que,,
coll012,ARI_QANWANMI_KASAQ.pdf,Ari: Qanwanmi Kasaq,Guillermo Thorndike; Angel Avendano,1975-06-03,,1,,"Lima, Peru ",,,,ari_qanwanmi,Periódico,PDF,que,,
coll013,cronicawan 15 yupana.pdf,Qaynamanta Aswan Pukarasqa,Hernando Aguirre Gamio; Angel Avendaño,1975-09-16,,15,,"Lima, Peru ",,,,cronicawan-15-yapana,Revista,PDF,que;esp,,
coll014,Bolivar-150 anos despues 2.pdf,Bolivar: 150 años despues...,Varios,1980-12-17,,,,"Lima, Peru ",,,,cronicawan-Bolivar,Revista,PDF,que;esp,,
coll015,cronicawan 12 yupana.pdf,12 Yupana,Luis Gonzales Posada,1975-08-26,,12,,"Lima, Peru ",,,,cronicawan-12-yupana,Revista,PDF,que;esp,,
coll016,cronicawan 14 yupana.pdf,Qhari Chakiwan Yapusun,Hernando Aguirre Gamio; Angel Avendaño,1975-09-09,,14,,"Lima, Peru ",,,,cronicawan-14-yapana,Revista,PDF,que;esp,,
coll017,cronicawan 16 yupana.pdf,Q'ayapaq Ñanta Kichaspa,Hernando Aguirre Gamio; Angel Avendaño,1975-09-23,,16,,"Lima, Peru ",,,,cronicawan-16-yapana,Revista,PDF,esp,,
